Company_field,Company_name,Company_scale,Company_type,Job_location,Job_name,Job_salary,Job_update,Job_url,Location,Require_degree,Require_exp,Require_lan,Require_number
"快速消费品,饮料,互联网",杭州东印化妆品有限公司,150,合资,杭州-拱墅区,数据分析师,0.8-1万/月,10-20发布,http://jobs.51job.com/hangzhou-gsq/95141588.html?s=01&t=0,丰潭路380号城西银泰城E座8楼							,,无工作经验,,招1人
"互联网,金融,证券",杭州大家在线互联网科技有限公司,50,民营公司,杭州-萧山区,数据分析专员 (职位编号：6),6-8千/月,10-20发布,http://jobs.51job.com/hangzhou-xsq/94854543.html?s=01&t=0,杭州市萧山区金城路438号东南科技研发中心905							,大专,1年经验,,招1人
"批发,影视,艺术",好易购家庭购物有限公司,500,国企,杭州,数据分析/营运分析,0.6-1.2万/月,10-20发布,http://jobs.51job.com/hangzhou/82318361.html?s=01&t=0,萧山区弘慧路399号浙江国际影视中心							,本科,3-4年经验,,招1人
"物业管理,批发",浙江国大集团有限责任公司商业管理分公司,50,国企,杭州-下城区,数据分析员,6-8千/月,10-20发布,http://jobs.51job.com/hangzhou-xcq/93302760.html?s=01&t=0,杭州市下城区体育场路333号							,,2年经验,,招1人
"金融,证券",杭州招财猫商务信息咨询有限公司,1000,民营公司,杭州-江干区,数据分析主管,1-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou-jgq/94754733.html?s=01&t=0,俞章路88号浙宝大厦							,本科,5-7年经验,,招1人
"互联网,计算机软件",上海凭安征信服务有限公司,50,民营公司,杭州-下城区,数据分析师,0.8-1万/月,10-20发布,http://jobs.51job.com/hangzhou-xcq/94371268.html?s=01&t=0,下城区延安路511号元通大厦627							,本科,3-4年经验,,招1人
房地产,深圳平安不动产杭州分公司,50,上市公司,杭州-江干区,市场研究经理（数据分析）,1.5-2万/月,10-20发布,http://jobs.51job.com/hangzhou-jgq/71793567.html?s=01&t=0,UDC大厦							,硕士,无工作经验,,招若干人
"专业服务,人力资源,汽车及零配件",杭州中成汽车销售服务有限公司,50,民营公司,杭州-西湖区,数据分析统计员,4.5-6千/月,10-20发布,http://jobs.51job.com/hangzhou-xhq/94979889.html?s=01&t=0,古墩路701号紫金广场							,大专,无工作经验,,招若干人
"服装,皮革",杭州中赛实业有限公司,500,民营公司,杭州-江干区,商品数据分析,6-8千/月,10-20发布,http://jobs.51job.com/hangzhou-jgq/83045608.html?s=01&t=0,杭州市江干区钱江新城新业路8号UDC时代大厦A幢20楼							,大专,无工作经验,,招1人
"服装,皮革",杭州朝花夕拾服饰有限公司,150,民营公司,杭州-下城区,商品数据分析,4-6千/月,10-20发布,http://jobs.51job.com/hangzhou-xcq/90051526.html?s=01&t=0,下城区费家塘路552号13幢6楼							,高中,2年经验,,招1人
"互联网,交通,物流",浙江泛远控股集团有限公司,150,民营公司,杭州-下城区,数据分析员,4.5-6千/月,10-20发布,http://jobs.51job.com/hangzhou-xcq/84125651.html?s=01&t=0,甘长路43号新华工业园内8号楼一楼							,本科,无工作经验,,招1人
新能源,盾安集团-浙江盾安新能源股份有限公司,150,民营公司,杭州-滨江区,数据分析师,20-50万/年,10-20发布,http://jobs.51job.com/hangzhou-bjq/89428431.html?s=01&t=0,滨安路1190号智汇中心A座19F盾安新能源							,硕士,无工作经验,,招1人
"交通,物流",中骅国际物流有限公司,500,民营公司,杭州-江干区,统计分析员-（管理or数据分析方向）（杭州）,3.5-5千/月,10-19发布,http://jobs.51job.com/hangzhou-jgq/89438121.html?s=01&t=0,杭州地区就近分配							,大专,无工作经验,,招5人
"服装,皮革",浙江慧兰服饰有限公司,500,民营公司,杭州-上城区,数据分析,4.5-6千/月,10-20发布,http://jobs.51job.com/hangzhou-scq/55606210.html?s=01&t=0,解放路85号伟星世纪大厦南座12楼							,大专,1年经验,,招1人
"家居,装潢,建材",浙江亚厦装饰股份有限公司,5000,上市公司,杭州,数据分析师,1-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou/78106993.html?s=01&t=0,杭州市上城区望江东路299号冠盛大厦							,本科,无工作经验,,招1人
互联网,乐其网络科技有限公司,1000,民营公司,杭州-滨江区,数据分析师,1.5-2万/月,10-20发布,http://jobs.51job.com/hangzhou-bjq/93704161.html?s=01&t=0,江虹路611号上峰电商产业园1号楼402室							,本科,2年经验,,招1人
"金融,证券",乾晟（杭州）资产管理有限公司,少于50人,民营公司,杭州-江干区,数据分析专员,0.8-1万/月,10-20发布,http://jobs.51job.com/hangzhou-jgq/94204745.html?s=01&t=0,杭州市钱江新城钱江路与江锦路交叉口华润大厦A座3101-02室							,本科,1年经验,,招1人
"快速消费品,饮料",杭州纳美科技有限公司,150,民营公司,杭州,数据分析师,6-8万/年,10-20发布,http://jobs.51job.com/hangzhou/93824200.html?s=01&t=0,余杭区闲林圣地路							,,2年经验,,招1人
"互联网,通信,增值服务",卓望信息技术（北京）有限公司,1000,外资,杭州-西湖区,数据分析师,0.6-1.3万/月,10-20发布,http://jobs.51job.com/hangzhou-xhq/91148839.html?s=01&t=0,文二西路780号西溪银座							,,无工作经验,,招若干人
"金融,证券",上海靖奇投资管理有限公司,少于50人,民营公司,杭州-江干区,量化策略开发员/数据分析师 (职位编号：QTI002),150元/天,10-20发布,http://jobs.51job.com/hangzhou-jgq/89987026.html?s=01&t=0,新业路8号华联时代大厦B座13层							,本科,无工作经验,,招3人
"计算机服务,数据服务,计算机软件",杭州导领科技有限公司,少于50人,民营公司,杭州-西湖区,数据分析师,4-6千/月,10-20发布,http://jobs.51job.com/hangzhou-xhq/68841524.html?s=01&t=0,西湖区文三路90号东部软件园							,本科,无工作经验,,招1人
"互联网,计算机软件",厦门美柚信息科技有限公司,150,民营公司,杭州,运营数据分析,6-8千/月,10-20发布,http://jobs.51job.com/hangzhou/90773027.html?s=01&t=0,文一西路1288号海创科技中心3号楼12楼							,本科,1年经验,,招1人
"仪器仪表,环保",杭州浅海科技有限责任公司,50,民营公司,杭州-滨江区,产品数据分析专员,4-6千/月,10-20发布,http://jobs.51job.com/hangzhou-bjq/91816694.html?s=01&t=0,滨江区和瑞科技园							,,无工作经验,,招1人
计算机软件,杭州早稻科技有限公司,50,创业公司,杭州-余杭区,数据分析师,1-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou-yhq/87199022.html?s=01&t=0,未来科技城海创园19幢401室							,,无工作经验,,招2人
"计算机软件,系统,维修",上海数聚软件系统股份有限公司,150,民营公司,杭州,数据分析师,1-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou/90578482.html?s=01&t=0,西湖区							,本科,3-4年经验,,招1人
"金融,证券,电子商务",微贷（杭州）金融信息服务有限公司,10000人以上,民营公司,杭州-江干区,数据分析专员,0.6-1.2万/月,10-20发布,http://jobs.51job.com/hangzhou-jgq/94954953.html?s=01&t=0,解放东路33号财富金融中心西楼41楼							,,无工作经验,,招1人
"电子技术,集成电路",西湖电子集团有限公司,1000,国企,杭州,博士后（大数据分析与处理方向）,1.5-2万/月,10-20发布,http://jobs.51job.com/hangzhou/76746701.html?s=01&t=0,杭州市教工路一号							,博士,无工作经验,,招1人
"服装,皮革,投资",杭州萌婉服饰有限公司,500,国企,杭州,数据分析师,4-6千/月,10-20发布,http://jobs.51job.com/hangzhou/90469263.html?s=01&t=0,杭州下城区东新路928号新华创意园直走50米右拐（甘长路47号10幢）							,,无工作经验,,招若干人
"工程,咨询,财会",杭州昊翌制衣有限公司,建筑,外企代表处,杭州,数据分析师,4-6千/月,10-20发布,http://jobs.51job.com/hangzhou/90470031.html?s=01&t=0,下城区甘长路47号10幢（香影服饰）							,,无工作经验,,招若干人
"互联网,计算机硬件",杭州康帕斯科技有限公司,500,民营公司,杭州-西湖区,数据分析员,0.6-1万/月,10-20发布,http://jobs.51job.com/hangzhou-xhq/92016393.html?s=01&t=0,杭州市西湖区文一西路花蒋路口绿城西溪国际E座310							,本科,1年经验,,招1人
"服装,皮革",杭州唯卡服饰有限公司,150,民营公司,杭州,数据分析员,4.5-6.5千/月,10-20发布,http://jobs.51job.com/hangzhou/70310578.html?s=01&t=0,杭州余杭区三鑫工业园新管氏6栋4楼							,,无工作经验,,招若干人
互联网,衣品天成,1000,民营公司,杭州-萧山区,运营库管/数据分析员,4.5-6千/月,10-20发布,http://jobs.51job.com/hangzhou-xsq/88606730.html?s=01&t=0,市心北路农业大厦2号楼17层							,本科,无工作经验,,招1人
"教育,院校,科研",竞思教育,150,民营公司,杭州,数据分析/文员,4-6千/月,10-20发布,http://jobs.51job.com/hangzhou/73794082.html?s=01&t=0,杭州西湖区学院路131-3号							,大专,1年经验,,招1人
计算机软件,酷家乐,500,民营公司,杭州-拱墅区,数据分析师,1.3-2.5万/月,10-20发布,http://jobs.51job.com/hangzhou-gsq/90339849.html?s=01&t=0,余杭塘路515号矩阵国际1号楼10-13楼							,,2年经验,,招1人
"计算机软件,系统,维修",朗新科技股份有限公司,1000,合资,杭州,大数据分析师,1-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou/91057997.html?s=01&t=0,杭州市文三路90号东部软件园科技大厦1层							,本科,2年经验,,招1人
"农,牧",明康汇生态农业集团有限公司,10000人以上,民营公司,杭州-余杭区,物流规划助理（数据分析）,4-4.5千/月,10-20发布,http://jobs.51job.com/hangzhou-yhq/91506253.html?s=01&t=0,仁和镇高新农业示范中心银杏路13号							,本科,1年经验,,招1人
"互联网,计算机软件",浙江阿拉丁电子商务股份有限公司,150,民营公司,杭州-滨江区,高级数据分析师,1-1.8万/月,10-20发布,http://jobs.51job.com/hangzhou-bjq/94565034.html?s=01&t=0,江陵路2028号星耀城1号楼2302							,,3-4年经验,,招5人
